144;508;p
147;500;p
151;493;p
156;484;p
162;473;p
169;455;p
179;433;p
187;413;p
195;393;p
201;367;p
207;341;p
211;311;p
211;281;p
217;243;p
223;203;p
227;163;p
231;131;p
235;107;p
239;83;p
241;59;p
245;46;p
248;39;p
249;34;p
249;32;p
250;30;p
251;29;p
251;28;p
252;27;p
254;22;p
255;18;p
256;15;p
257;11;p
258;7;p
258;5;p
258;2;p
258;1;p
258;0;p
258;1;p
258;4;p
259;10;p
264;20;p
269;33;p
278;54;p
288;74;p
300;96;p
314;122;p
330;152;p
346;184;p
360;222;p
374;262;p
388;298;p
396;334;p
404;370;p
414;402;p
424;436;p
432;468;p
438;490;p
444;506;p
449;513;p
451;517;p
452;519;p
453;520;p
454;520;p
455;519;p
455;519;p
456;518;p
456;518;p
455;516;p
452;513;p
445;506;p
431;492;p
413;472;p
393;448;p
367;422;p
335;390;p
297;360;p
259;328;p
223;298;p
193;268;p
159;244;p
133;224;p
117;212;p
110;205;p
108;204;p
108;203;p
108;202;p
108;202;p
108;201;p
110;201;p
112;201;p
124;196;p
156;188;p
202;184;p
262;174;p
332;166;p
406;156;p
474;154;p
536;154;p
590;154;p
632;154;p
656;154;p
663;154;p
664;154;p
665;155;p
663;156;p
661;157;p
660;157;p
659;157;p
658;157;p
654;158;p
645;161;p
632;164;p
616;172;p
592;178;p
554;192;p
516;208;p
478;224;p
434;246;p
388;272;p
342;298;p
296;328;p
248;354;p
204;380;p
164;400;p
128;414;p
100;428;p
76;440;p
52;452;p
30;464;p
16;473;p
6;480;p
2;484;p
1;485;p
0;486;p
1;487;p
2;486;p
